# graph_idx node_start node_count edge_start edge_count y_value
0	0	19	0	40	0
1	19	39	40	88	0
2	58	21	128	48	0
7	139	18	296	38	0
17	336	23	702	50	0
18	359	29	752	64	0
19	388	37	816	76	0
26	536	23	1118	50	0
28	575	18	1204	38	0
31	608	13	1274	28	0
43	788	26	1638	54	0
44	814	9	1692	20	0
45	823	9	1712	20	0
61	1029	8	2128	18	0
73	1210	38	2492	82	0
77	1302	32	2686	70	0
79	1344	15	2778	32	0
88	1489	39	3076	84	0
92	1549	15	3200	30	0
97	1603	26	3306	58	0
103	1706	44	3516	94	0
109	1885	13	3882	28	0
110	1898	21	3910	44	0
111	1919	14	3954	30	0
116	2000	26	4116	52	0
120	2063	16	4240	36	0
132	2230	12	4576	24	0
133	2242	16	4600	32	0
135	2280	31	4680	66	0
137	2318	19	4760	42	0
138	2337	21	4802	50	0
144	2474	27	5104	60	0
150	2604	90	5384	192	0
151	2694	34	5576	74	0
162	2924	18	6056	38	0
163	2942	11	6094	24	0
169	3021	21	6254	48	0
174	3090	26	6400	58	0
176	3134	33	6496	76	0
177	3167	43	6572	94	0
178	3210	46	6666	92	0
179	3256	44	6758	100	0
180	3300	45	6858	102	0
189	3471	18	7220	38	0
190	3489	17	7258	38	0
191	3506	34	7296	72	0
196	3611	18	7510	38	0
200	3678	12	7644	26	0
205	3765	21	7824	52	0
207	3799	14	7904	30	0
208	3813	17	7934	40	0
209	3830	21	7974	48	0
210	3851	19	8022	42	0
212	3903	15	8128	30	0
224	4163	22	8694	48	0
226	4213	22	8798	50	0
228	4245	22	8868	48	0
229	4267	12	8916	28	0
233	4337	23	9068	48	0
235	4382	40	9162	86	1
236	4422	59	9248	118	0
238	4502	13	9412	28	0
244	4600	7	9614	14	1
247	4625	16	9660	34	0
248	4641	29	9694	64	0
251	4707	9	9840	18	0
253	4729	13	9882	28	0
255	4773	27	9976	60	0
258	4821	16	10076	36	0
259	4837	20	10112	42	0
267	4944	13	10336	28	0
269	4967	22	10384	48	0
273	5084	24	10636	56	0
275	5125	43	10728	96	0
276	5168	36	10824	76	0
280	5320	31	11154	72	0
285	5430	29	11388	64	0
289	5497	36	11526	88	0
298	5713	41	11986	90	0
301	5786	26	12138	54	0
302	5812	37	12192	76	0
304	5873	19	12314	44	0
305	5892	10	12358	22	0
306	5902	27	12380	60	0
307	5929	19	12440	40	0
312	6033	17	12658	38	0
313	6050	13	12696	26	0
316	6095	25	12792	54	0
320	6171	13	12948	28	0
321	6184	18	12976	40	0
326	6292	36	13202	78	1
332	6422	11	13472	26	0
333	6433	25	13498	50	0
334	6458	16	13548	34	0
340	6561	28	13758	62	0
342	6617	7	13882	14	0
343	6624	6	13896	12	0
351	6773	33	14210	76	0
352	6806	48	14286	104	1
356	6921	22	14534	50	0
358	6970	21	14636	50	0
363	7073	31	14858	72	0
366	7181	49	15104	110	0
368	7286	11	15338	24	0
370	7312	30	15396	66	0
371	7342	16	15462	36	0
374	7376	25	15532	60	0
388	7748	39	16330	84	0
390	7814	49	16474	110	0
395	7930	11	16716	24	0
400	7991	12	16832	26	0
402	8019	16	16892	32	0
406	8075	27	17004	60	0
410	8136	28	17130	62	0
413	8207	22	17290	50	0
416	8293	19	17476	42	0
423	8400	10	17696	20	0
424	8410	22	17716	46	0
425	8432	27	17762	60	0
426	8459	31	17822	74	0
432	8640	43	18222	94	0
434	8715	52	18386	114	1
435	8767	21	18500	48	0
437	8817	18	18604	40	0
439	8848	12	18672	26	0
441	8877	27	18730	58	0
448	9105	26	19220	58	0
450	9154	15	19330	36	0
451	9169	31	19366	70	0
456	9307	37	19660	80	0
462	9426	16	19910	36	0
467	9507	23	20082	52	0
468	9530	44	20134	100	0
472	9612	14	20314	32	0
477	9722	30	20554	64	0
483	9866	11	20852	24	0
484	9877	20	20876	44	0
493	10067	12	21272	26	0
494	10079	19	21298	42	0
497	10164	35	21484	80	0
498	10199	58	21564	126	1
503	10381	30	21952	64	0
504	10411	20	22016	44	0
509	10496	14	22202	34	0
515	10662	50	22564	110	0
520	10937	9	23152	24	0
525	11022	25	23332	54	0
530	11144	11	23586	26	0
531	11155	38	23612	82	0
536	11274	28	23862	60	0
540	11365	23	24058	48	0
544	11472	14	24292	30	0
545	11486	12	24322	26	0
548	11547	9	24454	20	0
550	11572	31	24508	72	0
557	11701	21	24784	46	0
558	11722	29	24830	64	0
568	11951	23	25316	50	0
572	12078	18	25576	40	0
574	12132	14	25686	30	0
576	12169	16	25766	36	0
580	12246	23	25930	50	0
581	12269	25	25980	54	0
584	12323	17	26094	38	0
585	12340	24	26132	52	0
595	12556	26	26590	58	0
598	12637	6	26760	12	0
601	12676	20	26840	42	0
602	12696	30	26882	66	0
